link,t,x,delta_t,delta_x,q,k,v
link2,600,600.0,120,100.0,0.5416666666666666,0.09184027777777777,5.897920604914934
link2,600,700.0,120,100.0,0.53125,0.09322916666666665,5.69832402234637
link2,600,800.0,120,100.0,0.53125,0.09305555555555556,5.708955223880597
link2,600,900.0,120,100.0,0.4375,0.10729166666666666,4.077669902912621
link2,720,0.0,120,100.0,0.5416666666666666,0.0876736111111111,6.178217821782178
link2,720,100.0,120,100.0,0.53125,0.09322916666666665,5.69832402234637
link2,720,200.0,120,100.0,0.53125,0.09305555555555556,5.708955223880597
link2,720,300.0,120,100.0,0.4375,0.10833333333333334,4.038461538461538
link2,720,400.0,120,100.0,0.44791666666666663,0.11197916666666666,4.0
link2,720,500.0,120,100.0,0.5520833333333334,0.0923611111111111,5.977443609022558
link2,720,600.0,120,100.0,0.5416666666666666,0.09131944444444445,5.931558935361216
link2,720,700.0,120,100.0,0.5520833333333334,0.09010416666666667,6.127167630057804
link2,720,800.0,120,100.0,0.46875,0.10277777777777777,4.560810810810811
link2,720,900.0,120,100.0,0.47916666666666663,0.10572916666666667,4.532019704433497
link2,840,0.0,120,100.0,0.5416666666666666,0.08628472222222223,6.277665995975854
link2,840,100.0,120,100.0,0.5520833333333334,0.09010416666666667,6.127167630057804
link2,840,200.0,120,100.0,0.46875,0.10277777777777777,4.560810810810811
link2,840,300.0,120,100.0,0.47916666666666663,0.10625,4.509803921568627
link2,840,400.0,120,100.0,0.5729166666666666,0.0890625,6.432748538011695
link2,840,500.0,120,100.0,0.5416666666666666,0.09045138888888889,5.9884836852207295
link2,840,600.0,120,100.0,0.5208333333333334,0.09600694444444445,5.424954792043399
link2,840,700.0,120,100.0,0.40625,0.1140625,3.5616438356164384
link2,840,800.0,120,100.0,0.40625,0.1203125,3.3766233766233764
link2,840,900.0,120,100.0,0.5104166666666666,0.09895833333333334,5.157894736842104
link2,960,0.0,120,100.0,0.5208333333333334,0.0921875,5.649717514124294
link2,960,100.0,120,100.0,0.40625,0.1140625,3.5616438356164384
link2,960,200.0,120,100.0,0.40625,0.1203125,3.3766233766233764
link2,960,300.0,120,100.0,0.5104166666666666,0.09947916666666666,5.130890052356021
